dex,pokemon_id,pokemon,base_attack,base_defense,base_stamina,types,fast_moves,charged_moves,elite_moves,legacy_moves,buddy_distance,third_move_cost,released,family_id,evolutions,parent,tags
1,bulbasaur,Bulbasaur,118,111,128,"['grass', 'poison']","['TACKLE', 'VINE_WHIP']","['POWER_WHIP', 'SEED_BOMB', 'SLUDGE_BOMB', 'RETURN']",nan,nan,3.0,10000,True,FAMILY_BULBASAUR,['ivysaur'],,"['starter', 'shadoweligible']"
1,bulbasaur_shadow,Bulbasaur (Shadow),118,111,128,"['grass', 'poison']","['TACKLE', 'VINE_WHIP']","['POWER_WHIP', 'SEED_BOMB', 'SLUDGE_BOMB', 'FRUSTRATION']",nan,nan,3.0,10000,True,FAMILY_BULBASAUR,['ivysaur_shadow'],,"['starter', 'shadow']"
2,ivysaur,Ivysaur,151,143,155,"['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['POWER_WHIP', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'RETURN']",nan,nan,3.0,10000,True,FAMILY_BULBASAUR,['venusaur'],bulbasaur,"['starter', 'shadoweligible']"
2,ivysaur_shadow,Ivysaur (Shadow),151,143,155,"['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['POWER_WHIP', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'FRUSTRATION']",nan,nan,3.0,10000,True,FAMILY_BULBASAUR,['venusaur_shadow'],bulbasaur_shadow,"['starter', 'shadow']"
3,venusaur,Venusaur,198,189,190,"['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'RETURN']",['FRENZY_PLANT'],nan,3.0,10000,True,FAMILY_BULBASAUR,nan,ivysaur,"['starter', 'shadoweligible']"
3,venusaur_mega,Venusaur (Mega),241,246,190,"['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM']",['FRENZY_PLANT'],nan,3.0,10000,True,FAMILY_BULBASAUR,nan,ivysaur,"['starter', 'shadoweligible', 'mega']"
3,venusaur_shadow,Venusaur (Shadow),198,189,190,"['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'FRUSTRATION']",['FRENZY_PLANT'],nan,3.0,10000,True,FAMILY_BULBASAUR,nan,ivysaur_shadow,"['starter', 'shadow']"
4,charmander,Charmander,116,93,118,"['fire', 'none']","['EMBER', 'SCRATCH']","['FLAME_BURST', 'FLAME_CHARGE', 'FLAMETHROWER', 'RETURN']",nan,nan,3.0,10000,True,FAMILY_CHARMANDER,['charmeleon'],,"['starter', 'shadoweligible']"
4,charmander_shadow,Charmander (Shadow),116,93,118,"['fire', 'none']","['EMBER', 'SCRATCH']","['FLAME_BURST', 'FLAME_CHARGE', 'FLAMETHROWER', 'FRUSTRATION']",nan,nan,3.0,10000,True,FAMILY_CHARMANDER,['charmeleon_shadow'],,"['starter', 'shadow']"
5,charmeleon,Charmeleon,158,126,151,"['fire', 'none']","['EMBER', 'FIRE_FANG', 'SCRATCH']","['FIRE_PUNCH', 'FLAME_BURST', 'FLAMETHROWER', 'RETURN']",['SCRATCH'],nan,3.0,10000,True,FAMILY_CHARMANDER,['charizard'],charmander,"['starter', 'shadoweligible']"
5,charmeleon_shadow,Charmeleon (Shadow),158,126,151,"['fire', 'none']","['EMBER', 'FIRE_FANG', 'SCRATCH']","['FIRE_PUNCH', 'FLAME_BURST', 'FLAMETHROWER', 'FRUSTRATION']",['SCRATCH'],nan,3.0,10000,True,FAMILY_CHARMANDER,['charizard_shadow'],charmander_shadow,"['starter', 'shadow']"
6,charizard,Charizard,223,173,186,"['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT', 'RETURN']","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",nan,3.0,10000,True,FAMILY_CHARMANDER,nan,charmeleon,"['starter', 'shadoweligible']"
