pokemon,move,move_kind,type,stab_bonus,damage,energy,damage_per_energy,effect,archetype,notes
Abomasnow,Blizzard,charged,ice,1.2,140,75,1.87,,Nuke,
Abomasnow,Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow,Icy Wind,charged,ice,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow,Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Abomasnow,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Abomasnow,Weather Ball (Ice),charged,ice,1.2,55,35,1.57,,Spam/Bait,
Abomasnow (Mega),Blizzard,charged,ice,1.2,140,75,1.87,,Nuke,
Abomasnow (Mega),Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow (Mega),Icy Wind,charged,ice,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow (Mega),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Abomasnow (Mega),Weather Ball (Ice),charged,ice,1.2,55,35,1.57,,Spam/Bait,
Abomasnow (Shadow),Blizzard,charged,ice,1.2,140,75,1.87,,Nuke,
Abomasnow (Shadow),Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Abomasnow (Shadow),Icy Wind,charged,ice,1.2,60,45,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow (Shadow),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Abomasnow (Shadow),Weather Ball (Ice),charged,ice,1.2,55,35,1.57,,Spam/Bait,
Abra,Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Abra,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Abra,Shadow Ball,charged,ghost,1.0,100,55,1.82,,Nuke,
Abra,Signal Beam,charged,bug,1.0,75,55,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Abra (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Abra (Shadow),Psyshock,charged,psychic,1.2,70,45,1.56,,General,
Abra (Shadow),Shadow Ball,charged,ghost,1.0,100,55,1.82,,Nuke,
Abra (Shadow),Signal Beam,charged,bug,1.0,75,55,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Absol,Dark Pulse,charged,dark,1.2,80,50,1.6,,General,
Absol,Megahorn,charged,bug,1.0,110,55,2.0,,Nuke,
Absol,Payback,charged,dark,1.2,110,60,1.83,,Nuke,
Absol,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Absol,Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Absol (Mega),Dark Pulse,charged,dark,1.2,80,50,1.6,,General,
Absol (Mega),Megahorn,charged,bug,1.0,110,55,2.0,,Nuke,
Absol (Mega),Payback,charged,dark,1.2,110,60,1.83,,Nuke,
Absol (Mega),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Absol (Shadow),Dark Pulse,charged,dark,1.2,80,50,1.6,,General,
Absol (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Absol (Shadow),Megahorn,charged,bug,1.0,110,55,2.0,,Nuke,
Absol (Shadow),Payback,charged,dark,1.2,110,60,1.83,,Nuke,
Absol (Shadow),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Accelgor,Acid Spray,charged,poison,1.0,20,45,0.44,100% chance -2 Def opponent,Debuff,
Accelgor,Bug Buzz,charged,bug,1.2,100,60,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Accelgor,Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Accelgor,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Accelgor,Signal Beam,charged,bug,1.2,75,55,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Accelgor (Shadow),Acid Spray,charged,poison,1.0,20,45,0.44,100% chance -2 Def opponent,Debuff,
Accelgor (Shadow),Bug Buzz,charged,bug,1.2,100,60,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Accelgor (Shadow),Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Accelgor (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
