pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,archetype,notes
Abomasnow,Leafage,fast,grass,1.2,6,7,2,3.0,3.5,General,
Abomasnow,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Abomasnow,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Abomasnow (Mega),Leafage,fast,grass,1.2,6,7,2,3.0,3.5,General,
Abomasnow (Mega),Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Abomasnow (Mega),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Abomasnow (Shadow),Leafage,fast,grass,1.2,6,7,2,3.0,3.5,General,
Abomasnow (Shadow),Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Abomasnow (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Abra,Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Abra,Zen Headbutt,fast,psychic,1.2,8,6,3,2.67,2.0,Low Quality,
Abra (Shadow),Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Abra (Shadow),Zen Headbutt,fast,psychic,1.2,8,6,3,2.67,2.0,Low Quality,
Absol,Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,Fast Charge,
Absol,Snarl,fast,dark,1.2,5,13,3,1.67,4.33,Fast Charge,
Absol (Mega),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,Fast Charge,
Absol (Mega),Snarl,fast,dark,1.2,5,13,3,1.67,4.33,Fast Charge,
Absol (Shadow),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,Fast Charge,
Absol (Shadow),Snarl,fast,dark,1.2,5,13,3,1.67,4.33,Fast Charge,
Accelgor,Acid,fast,poison,1.0,6,5,2,3.0,2.5,Low Quality,
Accelgor,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Accelgor,Water Shuriken,fast,water,1.0,6,14,3,2.0,4.67,Fast Charge,
Accelgor (Shadow),Acid,fast,poison,1.0,6,5,2,3.0,2.5,Low Quality,
Accelgor (Shadow),Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Accelgor (Shadow),Water Shuriken,fast,water,1.0,6,14,3,2.0,4.67,Fast Charge,
Aegislash (Blade),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Aegislash (Blade),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,Fast Charge,
Aegislash (Shield),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Aegislash (Shield),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,Fast Charge,
Aerodactyl,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Aerodactyl,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Aerodactyl,Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,General,
Aerodactyl (Mega),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Aerodactyl (Mega),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Aerodactyl (Mega),Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,General,
Aerodactyl (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Aerodactyl (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Aerodactyl (Shadow),Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,General,
Aggron,Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Aggron,Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Aggron,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Aggron (Mega),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Aggron (Mega),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Aggron (Mega),Smack Down,fast,rock,1.0,11,8,3,3.67,2.67,Heavy Damage,
Aggron (Shadow),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
