pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,energy,damage_per_energy,effect,archetype,notes
Abomasnow,Leafage,fast,grass,1.2,6,7,2,3.0,3.5,,,,General,
Abomasnow,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,,,,Fast Charge,
Abomasnow,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,,,,Heavy Damage,
Abomasnow,Blizzard,charged,ice,1.2,140,0,1,,,75.0,1.87,,Nuke,
Abomasnow,Energy Ball,charged,grass,1.2,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow,Icy Wind,charged,ice,1.2,60,0,1,,,45.0,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow,Outrage,charged,dragon,1.0,110,0,1,,,60.0,1.83,,Nuke,
Abomasnow,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Abomasnow,Weather Ball (Ice),charged,ice,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Abomasnow (Mega),Leafage,fast,grass,1.2,6,7,2,3.0,3.5,,,,General,
Abomasnow (Mega),Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,,,,Fast Charge,
Abomasnow (Mega),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,,,,Heavy Damage,
Abomasnow (Mega),Blizzard,charged,ice,1.2,140,0,1,,,75.0,1.87,,Nuke,
Abomasnow (Mega),Energy Ball,charged,grass,1.2,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow (Mega),Icy Wind,charged,ice,1.2,60,0,1,,,45.0,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow (Mega),Outrage,charged,dragon,1.0,110,0,1,,,60.0,1.83,,Nuke,
Abomasnow (Mega),Weather Ball (Ice),charged,ice,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Abomasnow (Shadow),Leafage,fast,grass,1.2,6,7,2,3.0,3.5,,,,General,
Abomasnow (Shadow),Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,,,,Fast Charge,
Abomasnow (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,,,,Heavy Damage,
Abomasnow (Shadow),Blizzard,charged,ice,1.2,140,0,1,,,75.0,1.87,,Nuke,
Abomasnow (Shadow),Energy Ball,charged,grass,1.2,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Abomasnow (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Abomasnow (Shadow),Icy Wind,charged,ice,1.2,60,0,1,,,45.0,1.33,100% chance -1 Atk opponent,Debuff,
Abomasnow (Shadow),Outrage,charged,dragon,1.0,110,0,1,,,60.0,1.83,,Nuke,
Abomasnow (Shadow),Weather Ball (Ice),charged,ice,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Abra,Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,,,,Fast Charge,
Abra,Zen Headbutt,fast,psychic,1.2,8,6,3,2.67,2.0,,,,Low Quality,
Abra,Psyshock,charged,psychic,1.2,70,0,1,,,45.0,1.56,,General,
Abra,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Abra,Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Abra,Signal Beam,charged,bug,1.0,75,0,1,,,55.0,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Abra (Shadow),Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,,,,Fast Charge,
Abra (Shadow),Zen Headbutt,fast,psychic,1.2,8,6,3,2.67,2.0,,,,Low Quality,
Abra (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Abra (Shadow),Psyshock,charged,psychic,1.2,70,0,1,,,45.0,1.56,,General,
Abra (Shadow),Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Abra (Shadow),Signal Beam,charged,bug,1.0,75,0,1,,,55.0,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Absol,Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,,,,Fast Charge,
Absol,Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
