dex_parent,pokemon_id_parent,pokemon_parent,dex_child,pokemon_id_child,pokemon_child,is_self
1,bulbasaur,Bulbasaur,1,bulbasaur,Bulbasaur,True
1,bulbasaur,Bulbasaur,2,ivysaur,Ivysaur,False
1,bulbasaur,Bulbasaur,3,venusaur,Venusaur,False
1,bulbasaur,Bulbasaur,3,venusaur_mega,Venusaur (Mega),False
1,bulbasaur_shadow,Bulbasaur (Shadow),1,bulbasaur_shadow,Bulbasaur (Shadow),True
1,bulbasaur_shadow,Bulbasaur (Shadow),2,ivysaur_shadow,Ivysaur (Shadow),False
1,bulbasaur_shadow,Bulbasaur (Shadow),3,venusaur_shadow,Venusaur (Shadow),False
2,ivysaur,Ivysaur,2,ivysaur,Ivysaur,True
2,ivysaur,Ivysaur,3,venusaur,Venusaur,False
2,ivysaur,Ivysaur,3,venusaur_mega,Venusaur (Mega),False
2,ivysaur_shadow,Ivysaur (Shadow),2,ivysaur_shadow,Ivysaur (Shadow),True
2,ivysaur_shadow,Ivysaur (Shadow),3,venusaur_shadow,Venusaur (Shadow),False
3,venusaur,Venusaur,3,venusaur,Venusaur,True
3,venusaur,Venusaur,3,venusaur_mega,Venusaur (Mega),False
3,venusaur_mega,Venusaur (Mega),3,venusaur_mega,Venusaur (Mega),True
3,venusaur_shadow,Venusaur (Shadow),3,venusaur_shadow,Venusaur (Shadow),True
4,charmander,Charmander,4,charmander,Charmander,True
4,charmander,Charmander,5,charmeleon,Charmeleon,False
4,charmander,Charmander,6,charizard,Charizard,False
4,charmander,Charmander,6,charizard_mega_x,Charizard (Mega X),False
4,charmander,Charmander,6,charizard_mega_y,Charizard (Mega Y),False
4,charmander_shadow,Charmander (Shadow),4,charmander_shadow,Charmander (Shadow),True
4,charmander_shadow,Charmander (Shadow),5,charmeleon_shadow,Charmeleon (Shadow),False
4,charmander_shadow,Charmander (Shadow),6,charizard_shadow,Charizard (Shadow),False
5,charmeleon,Charmeleon,5,charmeleon,Charmeleon,True
5,charmeleon,Charmeleon,6,charizard,Charizard,False
5,charmeleon,Charmeleon,6,charizard_mega_x,Charizard (Mega X),False
5,charmeleon,Charmeleon,6,charizard_mega_y,Charizard (Mega Y),False
5,charmeleon_shadow,Charmeleon (Shadow),5,charmeleon_shadow,Charmeleon (Shadow),True
5,charmeleon_shadow,Charmeleon (Shadow),6,charizard_shadow,Charizard (Shadow),False
6,charizard,Charizard,6,charizard,Charizard,True
6,charizard,Charizard,6,charizard_mega_x,Charizard (Mega X),False
6,charizard,Charizard,6,charizard_mega_y,Charizard (Mega Y),False
6,charizard_mega_x,Charizard (Mega X),6,charizard_mega_x,Charizard (Mega X),True
6,charizard_mega_y,Charizard (Mega Y),6,charizard_mega_y,Charizard (Mega Y),True
6,charizard_shadow,Charizard (Shadow),6,charizard_shadow,Charizard (Shadow),True
7,squirtle,Squirtle,7,squirtle,Squirtle,True
7,squirtle,Squirtle,8,wartortle,Wartortle,False
7,squirtle,Squirtle,9,blastoise,Blastoise,False
7,squirtle,Squirtle,9,blastoise_mega,Blastoise (Mega),False
7,squirtle_shadow,Squirtle (Shadow),7,squirtle_shadow,Squirtle (Shadow),True
7,squirtle_shadow,Squirtle (Shadow),8,wartortle_shadow,Wartortle (Shadow),False
7,squirtle_shadow,Squirtle (Shadow),9,blastoise_shadow,Blastoise (Shadow),False
8,wartortle,Wartortle,8,wartortle,Wartortle,True
8,wartortle,Wartortle,9,blastoise,Blastoise,False
8,wartortle,Wartortle,9,blastoise_mega,Blastoise (Mega),False
8,wartortle_shadow,Wartortle (Shadow),8,wartortle_shadow,Wartortle (Shadow),True
8,wartortle_shadow,Wartortle (Shadow),9,blastoise_shadow,Blastoise (Shadow),False
9,blastoise,Blastoise,9,blastoise,Blastoise,True
9,blastoise,Blastoise,9,blastoise_mega,Blastoise (Mega),False
9,blastoise_mega,Blastoise (Mega),9,blastoise_mega,Blastoise (Mega),True
9,blastoise_shadow,Blastoise (Shadow),9,blastoise_shadow,Blastoise (Shadow),True
10,caterpie,Caterpie,10,caterpie,Caterpie,True
10,caterpie,Caterpie,11,metapod,Metapod,False
10,caterpie,Caterpie,12,butterfree,Butterfree,False
10,caterpie_shadow,Caterpie (Shadow),10,caterpie_shadow,Caterpie (Shadow),True
10,caterpie_shadow,Caterpie (Shadow),11,metapod_shadow,Metapod (Shadow),False
10,caterpie_shadow,Caterpie (Shadow),12,butterfree_shadow,Butterfree (Shadow),False
11,metapod,Metapod,11,metapod,Metapod,True
11,metapod,Metapod,12,butterfree,Butterfree,False
11,metapod_shadow,Metapod (Shadow),11,metapod_shadow,Metapod (Shadow),True
11,metapod_shadow,Metapod (Shadow),12,butterfree_shadow,Butterfree (Shadow),False
12,butterfree,Butterfree,12,butterfree,Butterfree,True
12,butterfree_shadow,Butterfree (Shadow),12,butterfree_shadow,Butterfree (Shadow),True
13,weedle,Weedle,13,weedle,Weedle,True
13,weedle,Weedle,14,kakuna,Kakuna,False
13,weedle,Weedle,15,beedrill,Beedrill,False
13,weedle,Weedle,15,beedrill_mega,Beedrill (Mega),False
13,weedle_shadow,Weedle (Shadow),13,weedle_shadow,Weedle (Shadow),True
13,weedle_shadow,Weedle (Shadow),14,kakuna_shadow,Kakuna (Shadow),False
13,weedle_shadow,Weedle (Shadow),15,beedrill_shadow,Beedrill (Shadow),False
14,kakuna,Kakuna,14,kakuna,Kakuna,True
14,kakuna,Kakuna,15,beedrill,Beedrill,False
14,kakuna,Kakuna,15,beedrill_mega,Beedrill (Mega),False
14,kakuna_shadow,Kakuna (Shadow),14,kakuna_shadow,Kakuna (Shadow),True
14,kakuna_shadow,Kakuna (Shadow),15,beedrill_shadow,Beedrill (Shadow),False
15,beedrill,Beedrill,15,beedrill,Beedrill,True
15,beedrill,Beedrill,15,beedrill_mega,Beedrill (Mega),False
15,beedrill_mega,Beedrill (Mega),15,beedrill_mega,Beedrill (Mega),True
15,beedrill_shadow,Beedrill (Shadow),15,beedrill_shadow,Beedrill (Shadow),True
16,pidgey,Pidgey,16,pidgey,Pidgey,True
16,pidgey,Pidgey,17,pidgeotto,Pidgeotto,False
16,pidgey,Pidgey,18,pidgeot,Pidgeot,False
16,pidgey,Pidgey,18,pidgeot_mega,Pidgeot (Mega),False
16,pidgey_shadow,Pidgey (Shadow),16,pidgey_shadow,Pidgey (Shadow),True
16,pidgey_shadow,Pidgey (Shadow),17,pidgeotto_shadow,Pidgeotto (Shadow),False
16,pidgey_shadow,Pidgey (Shadow),18,pidgeot_shadow,Pidgeot (Shadow),False
17,pidgeotto,Pidgeotto,17,pidgeotto,Pidgeotto,True
17,pidgeotto,Pidgeotto,18,pidgeot,Pidgeot,False
17,pidgeotto,Pidgeotto,18,pidgeot_mega,Pidgeot (Mega),False
17,pidgeotto_shadow,Pidgeotto (Shadow),17,pidgeotto_shadow,Pidgeotto (Shadow),True
17,pidgeotto_shadow,Pidgeotto (Shadow),18,pidgeot_shadow,Pidgeot (Shadow),False
18,pidgeot,Pidgeot,18,pidgeot,Pidgeot,True
18,pidgeot,Pidgeot,18,pidgeot_mega,Pidgeot (Mega),False
18,pidgeot_mega,Pidgeot (Mega),18,pidgeot_mega,Pidgeot (Mega),True
18,pidgeot_shadow,Pidgeot (Shadow),18,pidgeot_shadow,Pidgeot (Shadow),True
19,rattata,Rattata,19,rattata,Rattata,True
19,rattata_alolan,Rattata (Alolan),19,rattata_alolan,Rattata (Alolan),True
19,rattata_alolan,Rattata (Alolan),20,raticate,Raticate,False
19,rattata_alolan,Rattata (Alolan),20,raticate_alolan,Raticate (Alolan),False
19,rattata_alolan_shadow,Rattata (Alolan) (Shadow),19,rattata_alolan_shadow,Rattata (Alolan) (Shadow),True
19,rattata_alolan_shadow,Rattata (Alolan) (Shadow),20,raticate_alolan_shadow,Raticate (Alolan) (Shadow),False
19,rattata_alolan_shadow,Rattata (Alolan) (Shadow),20,raticate_shadow,Raticate (Shadow),False
19,rattata_shadow,Rattata (Shadow),19,rattata_shadow,Rattata (Shadow),True
20,raticate,Raticate,20,raticate,Raticate,True
20,raticate_alolan,Raticate (Alolan),20,raticate_alolan,Raticate (Alolan),True
20,raticate_alolan_shadow,Raticate (Alolan) (Shadow),20,raticate_alolan_shadow,Raticate (Alolan) (Shadow),True
20,raticate_shadow,Raticate (Shadow),20,raticate_shadow,Raticate (Shadow),True
21,spearow,Spearow,21,spearow,Spearow,True
21,spearow,Spearow,22,fearow,Fearow,False
22,fearow,Fearow,22,fearow,Fearow,True
23,ekans,Ekans,23,ekans,Ekans,True
23,ekans,Ekans,24,arbok,Arbok,False
23,ekans_shadow,Ekans (Shadow),23,ekans_shadow,Ekans (Shadow),True
23,ekans_shadow,Ekans (Shadow),24,arbok_shadow,Arbok (Shadow),False
24,arbok,Arbok,24,arbok,Arbok,True
24,arbok_shadow,Arbok (Shadow),24,arbok_shadow,Arbok (Shadow),True
25,pikachu,Pikachu,25,pikachu,Pikachu,True
25,pikachu,Pikachu,26,raichu,Raichu,False
25,pikachu,Pikachu,26,raichu_alolan,Raichu (Alolan),False
25,pikachu_5th_anniversary,Pikachu (5th Anniversary),25,pikachu_5th_anniversary,Pikachu (5th Anniversary),True
25,pikachu_flying,Pikachu (Flying),25,pikachu_flying,Pikachu (Flying),True
25,pikachu_horizons,Pikachu (Horizons),25,pikachu_horizons,Pikachu (Horizons),True
25,pikachu_kariyushi,Pikachu (Kariyushi),25,pikachu_kariyushi,Pikachu (Kariyushi),True
25,pikachu_libre,Pikachu (Libre),25,pikachu_libre,Pikachu (Libre),True
25,pikachu_pop_star,Pikachu (Pop Star),25,pikachu_pop_star,Pikachu (Pop Star),True
25,pikachu_rock_star,Pikachu (Rock Star),25,pikachu_rock_star,Pikachu (Rock Star),True
