pokemon,attacking_type,multiplier
Bulbasaur,normal,1.0
Bulbasaur,fighting,0.625
Bulbasaur,flying,1.6
Bulbasaur,poison,1.0
Bulbasaur,ground,1.0
Bulbasaur,rock,1.0
Bulbasaur,bug,1.0
Bulbasaur,ghost,1.0
Bulbasaur,steel,1.0
Bulbasaur,fire,1.6
Bulbasaur,water,0.625
Bulbasaur,grass,0.391
Bulbasaur,electric,0.625
Bulbasaur,psychic,1.6
Bulbasaur,ice,1.6
Bulbasaur,dragon,1.0
Bulbasaur,dark,1.0
Bulbasaur,fairy,0.625
Bulbasaur (Shadow),normal,1.0
Bulbasaur (Shadow),fighting,0.625
Bulbasaur (Shadow),flying,1.6
Bulbasaur (Shadow),poison,1.0
Bulbasaur (Shadow),ground,1.0
Bulbasaur (Shadow),rock,1.0
Bulbasaur (Shadow),bug,1.0
Bulbasaur (Shadow),ghost,1.0
Bulbasaur (Shadow),steel,1.0
Bulbasaur (Shadow),fire,1.6
Bulbasaur (Shadow),water,0.625
Bulbasaur (Shadow),grass,0.391
Bulbasaur (Shadow),electric,0.625
Bulbasaur (Shadow),psychic,1.6
Bulbasaur (Shadow),ice,1.6
Bulbasaur (Shadow),dragon,1.0
Bulbasaur (Shadow),dark,1.0
Bulbasaur (Shadow),fairy,0.625
Ivysaur,normal,1.0
Ivysaur,fighting,0.625
Ivysaur,flying,1.6
Ivysaur,poison,1.0
Ivysaur,ground,1.0
Ivysaur,rock,1.0
Ivysaur,bug,1.0
Ivysaur,ghost,1.0
Ivysaur,steel,1.0
Ivysaur,fire,1.6
Ivysaur,water,0.625
Ivysaur,grass,0.391
Ivysaur,electric,0.625
Ivysaur,psychic,1.6
Ivysaur,ice,1.6
Ivysaur,dragon,1.0
Ivysaur,dark,1.0
Ivysaur,fairy,0.625
Ivysaur (Shadow),normal,1.0
Ivysaur (Shadow),fighting,0.625
Ivysaur (Shadow),flying,1.6
Ivysaur (Shadow),poison,1.0
Ivysaur (Shadow),ground,1.0
Ivysaur (Shadow),rock,1.0
Ivysaur (Shadow),bug,1.0
Ivysaur (Shadow),ghost,1.0
Ivysaur (Shadow),steel,1.0
Ivysaur (Shadow),fire,1.6
Ivysaur (Shadow),water,0.625
Ivysaur (Shadow),grass,0.391
Ivysaur (Shadow),electric,0.625
Ivysaur (Shadow),psychic,1.6
Ivysaur (Shadow),ice,1.6
Ivysaur (Shadow),dragon,1.0
Ivysaur (Shadow),dark,1.0
Ivysaur (Shadow),fairy,0.625
Venusaur,normal,1.0
Venusaur,fighting,0.625
Venusaur,flying,1.6
Venusaur,poison,1.0
Venusaur,ground,1.0
Venusaur,rock,1.0
Venusaur,bug,1.0
Venusaur,ghost,1.0
Venusaur,steel,1.0
Venusaur,fire,1.6
Venusaur,water,0.625
Venusaur,grass,0.391
Venusaur,electric,0.625
Venusaur,psychic,1.6
Venusaur,ice,1.6
Venusaur,dragon,1.0
Venusaur,dark,1.0
Venusaur,fairy,0.625
Venusaur (Mega),normal,1.0
Venusaur (Mega),fighting,0.625
Venusaur (Mega),flying,1.6
Venusaur (Mega),poison,1.0
Venusaur (Mega),ground,1.0
Venusaur (Mega),rock,1.0
Venusaur (Mega),bug,1.0
Venusaur (Mega),ghost,1.0
Venusaur (Mega),steel,1.0
Venusaur (Mega),fire,1.6
Venusaur (Mega),water,0.625
Venusaur (Mega),grass,0.391
Venusaur (Mega),electric,0.625
Venusaur (Mega),psychic,1.6
Venusaur (Mega),ice,1.6
Venusaur (Mega),dragon,1.0
Venusaur (Mega),dark,1.0
Venusaur (Mega),fairy,0.625
Venusaur (Shadow),normal,1.0
Venusaur (Shadow),fighting,0.625
Venusaur (Shadow),flying,1.6
Venusaur (Shadow),poison,1.0
Venusaur (Shadow),ground,1.0
Venusaur (Shadow),rock,1.0
Venusaur (Shadow),bug,1.0
Venusaur (Shadow),ghost,1.0
Venusaur (Shadow),steel,1.0
Venusaur (Shadow),fire,1.6
Venusaur (Shadow),water,0.625
Venusaur (Shadow),grass,0.391
Venusaur (Shadow),electric,0.625
Venusaur (Shadow),psychic,1.6
Venusaur (Shadow),ice,1.6
Venusaur (Shadow),dragon,1.0
Venusaur (Shadow),dark,1.0
Venusaur (Shadow),fairy,0.625
Charmander,normal,1.0
Charmander,fighting,1.0
Charmander,flying,1.0
Charmander,poison,1.0
Charmander,ground,1.6
Charmander,rock,1.6
Charmander,bug,0.625
Charmander,ghost,1.0
Charmander,steel,0.625
Charmander,fire,0.625
Charmander,water,1.6
Charmander,grass,0.625
Charmander,electric,1.0
Charmander,psychic,1.0
Charmander,ice,0.625
Charmander,dragon,1.0
Charmander,dark,1.0
Charmander,fairy,0.625
Charmander (Shadow),normal,1.0
Charmander (Shadow),fighting,1.0
